DESC_DISTRITO,EspanolesHombres,EspanolesMujeres,ExtranjerosHombres,ExtranjerosMujeres,TotalEspanoles,TotalExtranjeros,TotalHombres,TotalMujeres,Total,numeroServ,RentaMedia2016,SuperficieHa,DensidadPob[hab/ha]
FUENCARRAL-EL PARDO,107136.0,118780.0,10034.0,13021.0,225916.0,23055.0,117170.0,131801.0,248971.0,3502.0,18573,23783.84,10.468074120915714
BARAJAS,21955.0,23156.0,2302.0,2872.0,45111.0,5174.0,24257.0,26028.0,50285.0,13.0,17641,4192.28,11.994666386787143
VICALVARO,31690.0,33871.0,4905.0,5182.0,65561.0,10087.0,36595.0,39053.0,75648.0,101.0,11695,3526.67,21.45026327952431
VILLA DE VALLECAS,48211.0,50823.0,7669.0,8596.0,99034.0,16265.0,55880.0,59419.0,115299.0,64.0,11925,5146.72,22.402423290950352
MONCLOA-ARAVACA,49914.0,57525.0,6052.0,8027.0,107439.0,14079.0,55966.0,65552.0,121518.0,251.0,22152,4653.11,26.11543677239524
HORTALEZA,82390.0,89932.0,9642.0,12161.0,172322.0,21803.0,92032.0,102093.0,194125.0,198.0,18277,2741.98,70.79737999547773
SAN BLAS-CANILLEJAS,65363.0,72564.0,10864.0,12315.0,137927.0,23179.0,76227.0,84879.0,161106.0,191.0,13404,2229.24,72.26947300425257
VILLAVERDE,57612.0,63867.0,16695.0,17404.0,121479.0,34099.0,74307.0,81271.0,155578.0,281.0,9756,2018.76,77.0661197963106
LATINA,92207.0,106512.0,19780.0,23149.0,198719.0,42929.0,111987.0,129661.0,241648.0,451.0,12232,2542.72,95.0352378555248
MORATALAZ,38509.0,45823.0,4465.0,5665.0,84332.0,10130.0,42974.0,51488.0,94462.0,49.0,13944,610.32,154.77454450124523
CHAMARTIN,59872.0,71553.0,6119.0,9035.0,131425.0,15154.0,65991.0,80588.0,146579.0,57.0,25969,917.55,159.75042232030953
PUENTE DE VALLECAS,90080.0,100862.0,23917.0,25589.0,190942.0,49506.0,113997.0,126451.0,240448.0,681.0,9545,1496.86,160.63492911828763
USERA,50340.0,57664.0,17275.0,18023.0,108004.0,35298.0,67615.0,75687.0,143302.0,328.0,9395,777.77,184.247271044139
CARABANCHEL,94274.0,108948.0,27018.0,29908.0,203222.0,56926.0,121292.0,138856.0,260148.0,595.0,10872,1404.83,185.18112511834173
CIUDAD LINEAL,83600.0,100225.0,15559.0,18761.0,183825.0,34320.0,99159.0,118986.0,218145.0,409.0,15048,1142.57,190.92484486727292
RETIRO,49784.0,59126.0,4356.0,6018.0,108910.0,10374.0,54140.0,65144.0,119284.0,41.0,21504,546.62,218.22106765211663
ARGANZUELA,64566.0,73947.0,7896.0,8878.0,138513.0,16774.0,72462.0,82825.0,155287.0,225.0,17306,646.22,240.3005168518461
CENTRO,52732.0,52699.0,19507.0,17005.0,105431.0,36512.0,72239.0,69704.0,141943.0,334.0,16147,522.82,271.49496958800347
SALAMANCA,55511.0,69259.0,9363.0,12646.0,124770.0,22009.0,64874.0,81905.0,146779.0,1125.0,24433,539.24,272.19605370521475
CHAMBERI,54316.0,67897.0,7443.0,10016.0,122213.0,17459.0,61759.0,77913.0,139672.0,3761.0,22499,467.92,298.4954693109933
TETUAN,58796.0,69116.0,14413.0,18498.0,127912.0,32911.0,73209.0,87614.0,160823.0,11694.0,14970,537.47,299.22228217388874
