DESC_DISTRITO,0-4,10-14,15-19,20-29,30-39,40-49,5-9,50-59,60-65,60-69,70-79,80-89,90-99,>=100,Total,%CentenarioDistrito
VILLAVERDE,6924.0,8643.0,8131.0,18992.0,21224.0,25892.0,7596.0,23818.0,9640.0,4426.0,10326.0,8297.0,1645.0,24.0,155578.0,0.0001542634562727378
BARAJAS,2408.0,2962.0,2761.0,4580.0,6370.0,9315.0,2905.0,7369.0,3039.0,1843.0,4366.0,1946.0,412.0,9.0,50285.0,0.0001789798150541911
VILLA DE VALLECAS,6718.0,6315.0,5147.0,12047.0,19000.0,23332.0,7567.0,14941.0,6588.0,3342.0,6132.0,3420.0,728.0,22.0,115299.0,0.0001908082463854847
VICALVARO,2976.0,5147.0,4554.0,8477.0,8890.0,14114.0,4017.0,12900.0,4345.0,1889.0,4467.0,3323.0,534.0,15.0,75648.0,0.00019828680203045685
SAN BLAS-CANILLEJAS,6056.0,8372.0,9464.0,18545.0,20312.0,25256.0,6983.0,27944.0,11679.0,5299.0,10374.0,8493.0,2295.0,34.0,161106.0,0.0002110411778580562
PUENTE DE VALLECAS,9726.0,10598.0,11361.0,31890.0,34893.0,36467.0,10025.0,37754.0,17945.0,7910.0,15748.0,12900.0,3166.0,65.0,240448.0,0.0002703287197231834
HORTALEZA,9685.0,10939.0,9748.0,18529.0,25469.0,33739.0,11270.0,27793.0,12669.0,6720.0,16257.0,9159.0,2087.0,61.0,194125.0,0.0003142305215711526
FUENCARRAL-EL PARDO,12566.0,13975.0,11434.0,23300.0,32110.0,42484.0,14986.0,31864.0,16382.0,9963.0,24113.0,12665.0,3038.0,91.0,248971.0,0.0003655044161769845
USERA,5795.0,7383.0,7533.0,18193.0,19956.0,24633.0,6586.0,21672.0,9074.0,4316.0,8879.0,7330.0,1899.0,53.0,143302.0,0.00036984829241741216
CARABANCHEL,10051.0,12723.0,12079.0,32004.0,36297.0,44372.0,11559.0,38326.0,16564.0,8495.0,19384.0,14562.0,3629.0,103.0,260148.0,0.00039592847148546214
TETUAN,6032.0,5488.0,5974.0,21686.0,29097.0,24760.0,5651.0,21973.0,11285.0,5724.0,11964.0,8383.0,2727.0,79.0,160823.0,0.000491223270303377
CENTRO,3558.0,3257.0,3346.0,21226.0,31059.0,25997.0,3204.0,20064.0,9477.0,4706.0,8825.0,5370.0,1784.0,70.0,141943.0,0.0004931557033457092
CIUDAD LINEAL,7515.0,8841.0,9645.0,25106.0,29729.0,32178.0,8406.0,32796.0,16546.0,8601.0,19697.0,14975.0,3999.0,111.0,218145.0,0.0005088358660523964
MORATALAZ,2902.0,3701.0,4297.0,10763.0,10635.0,12375.0,3296.0,15368.0,7512.0,3935.0,9674.0,8189.0,1764.0,51.0,94462.0,0.0005398996421841588
ARGANZUELA,5853.0,5766.0,5870.0,17300.0,24901.0,24848.0,5864.0,23371.0,12568.0,6676.0,12369.0,7427.0,2390.0,84.0,155287.0,0.0005409338837120943
LATINA,8277.0,9626.0,10207.0,27662.0,31952.0,36666.0,9125.0,35283.0,16699.0,8682.0,24937.0,18369.0,4030.0,133.0,241648.0,0.0005503873402635238
MONCLOA-ARAVACA,4775.0,5668.0,6296.0,14662.0,15177.0,17376.0,5409.0,17795.0,9066.0,4990.0,11158.0,6981.0,2074.0,91.0,121518.0,0.0007488602511562073
CHAMARTIN,6390.0,5937.0,5819.0,16220.0,21200.0,21040.0,6316.0,19887.0,10968.0,6381.0,14172.0,9123.0,3016.0,110.0,146579.0,0.0007504485635732267
RETIRO,4341.0,4569.0,4581.0,12269.0,15803.0,17240.0,4635.0,16411.0,9731.0,6012.0,13225.0,7958.0,2415.0,94.0,119284.0,0.0007880352771536837
SALAMANCA,5239.0,4860.0,5485.0,19216.0,22266.0,20114.0,5018.0,19983.0,11269.0,6452.0,14160.0,9371.0,3209.0,137.0,146779.0,0.0009333760279058994
CHAMBERI,4793.0,4409.0,4810.0,18380.0,22665.0,19276.0,4589.0,18010.0,10580.0,6388.0,13697.0,8711.0,3201.0,163.0,139672.0,0.001167019875136033
