DESC_DISTRITO,0-4,15-24,25-64,5-14,>=65,Total
BARAJAS,2408.0,5036.0,27974.0,5867.0,9000.0,50285.0
VICALVARO,2976.0,8902.0,43874.0,9164.0,10732.0,75648.0
MORATALAZ,2902.0,9432.0,50446.0,6997.0,24685.0,94462.0
VILLA DE VALLECAS,6718.0,10440.0,69621.0,13882.0,14638.0,115299.0
RETIRO,4341.0,9667.0,64735.0,9204.0,31337.0,119284.0
MONCLOA-ARAVACA,4775.0,13200.0,65764.0,11077.0,26702.0,121518.0
CHAMBERI,4793.0,11489.0,80494.0,8998.0,33898.0,139672.0
CENTRO,3558.0,10285.0,99499.0,6461.0,22140.0,141943.0
USERA,5795.0,16145.0,83686.0,13969.0,23707.0,143302.0
CHAMARTIN,6390.0,12368.0,81112.0,12253.0,34456.0,146579.0
SALAMANCA,5239.0,13088.0,83488.0,9878.0,35086.0,146779.0
ARGANZUELA,5853.0,12866.0,94094.0,11630.0,30844.0,155287.0
VILLAVERDE,6924.0,17079.0,89321.0,16239.0,26015.0,155578.0
TETUAN,6032.0,14264.0,98833.0,11139.0,30555.0,160823.0
SAN BLAS-CANILLEJAS,6056.0,18503.0,93155.0,15355.0,28037.0,161106.0
HORTALEZA,9685.0,18676.0,107409.0,22209.0,36146.0,194125.0
CIUDAD LINEAL,7515.0,20679.0,122970.0,17247.0,49734.0,218145.0
PUENTE DE VALLECAS,9726.0,26074.0,141854.0,20623.0,42171.0,240448.0
LATINA,8277.0,22712.0,133287.0,18751.0,58621.0,241648.0
FUENCARRAL-EL PARDO,12566.0,22209.0,132736.0,28961.0,52499.0,248971.0
CARABANCHEL,10051.0,26460.0,150817.0,24282.0,48538.0,260148.0
